"X","性別","醫療層級","縣市","年齡","年度","人數"
100,"F","醫學中心","高雄市",32,2008,211
101,"F","醫學中心","高雄市",32,2009,204
102,"F","醫學中心","高雄市",32,2010,236
103,"F","醫學中心","高雄市",32,2011,225
104,"F","醫學中心","高雄市",32,2012,225
105,"F","醫學中心","高雄市",33,2005,16
106,"F","醫學中心","高雄市",33,2006,30
107,"F","醫學中心","高雄市",33,2007,29
108,"F","醫學中心","高雄市",33,2008,174
109,"F","醫學中心","高雄市",33,2009,227
110,"F","醫學中心","高雄市",33,2010,201
111,"F","醫學中心","高雄市",33,2011,228
112,"F","醫學中心","高雄市",33,2012,224
113,"F","醫學中心","高雄市",34,2005,15
114,"F","醫學中心","高雄市",34,2006,17
115,"F","醫學中心","高雄市",34,2007,36
116,"F","醫學中心","高雄市",34,2008,175
117,"F","醫學中心","高雄市",34,2009,204
118,"F","醫學中心","高雄市",34,2010,222
119,"F","醫學中心","高雄市",34,2011,192
120,"F","醫學中心","高雄市",34,2012,227
121,"F","醫學中心","高雄市",35,2005,14
122,"F","醫學中心","高雄市",35,2006,14
123,"F","醫學中心","高雄市",35,2007,17
124,"F","醫學中心","高雄市",35,2008,180
125,"F","醫學中心","高雄市",35,2009,206
126,"F","醫學中心","高雄市",35,2010,203
127,"F","醫學中心","高雄市",35,2011,221
128,"F","醫學中心","高雄市",35,2012,194
129,"F","醫學中心","高雄市",36,2005,12
130,"F","醫學中心","高雄市",36,2006,14
131,"F","醫學中心","高雄市",36,2007,15
132,"F","醫學中心","高雄市",36,2008,135
133,"F","醫學中心","高雄市",36,2009,174
134,"F","醫學中心","高雄市",36,2010,195
135,"F","醫學中心","高雄市",36,2011,199
136,"F","醫學中心","高雄市",36,2012,215
137,"F","醫學中心","高雄市",37,2005,18
138,"F","醫學中心","高雄市",37,2006,13
139,"F","醫學中心","高雄市",37,2007,17
140,"F","醫學中心","高雄市",37,2008,158
141,"F","醫學中心","高雄市",37,2009,157
142,"F","醫學中心","高雄市",37,2010,172
143,"F","醫學中心","高雄市",37,2011,195
144,"F","醫學中心","高雄市",37,2012,198
145,"F","醫學中心","高雄市",38,2005,12
146,"F","醫學中心","高雄市",38,2006,21
147,"F","醫學中心","高雄市",38,2007,18
148,"F","醫學中心","高雄市",38,2008,169
149,"F","醫學中心","高雄市",38,2009,140
150,"F","醫學中心","高雄市",38,2010,151
151,"F","醫學中心","高雄市",38,2011,171
152,"F","醫學中心","高雄市",38,2012,191
153,"F","醫學中心","高雄市",39,2005,11
154,"F","醫學中心","高雄市",39,2006,18
155,"F","醫學中心","高雄市",39,2007,20
156,"F","醫學中心","高雄市",39,2008,156
157,"F","醫學中心","高雄市",39,2009,162
158,"F","醫學中心","高雄市",39,2010,139
159,"F","醫學中心","高雄市",39,2011,155
160,"F","醫學中心","高雄市",39,2012,171
161,"F","醫學中心","高雄市",40,2005,6
162,"F","醫學中心","高雄市",40,2006,12
163,"F","醫學中心","高雄市",40,2007,19
164,"F","醫學中心","高雄市",40,2008,131
165,"F","醫學中心","高雄市",40,2009,181
166,"F","醫學中心","高雄市",40,2010,163
167,"F","醫學中心","高雄市",40,2011,135
168,"F","醫學中心","高雄市",40,2012,155
169,"F","醫學中心","高雄市",41,2005,11
170,"F","醫學中心","高雄市",41,2006,7
171,"F","醫學中心","高雄市",41,2007,13
172,"F","醫學中心","高雄市",41,2008,114
173,"F","醫學中心","高雄市",41,2009,175
174,"F","醫學中心","高雄市",41,2010,180
175,"F","醫學中心","高雄市",41,2011,162
176,"F","醫學中心","高雄市",41,2012,135
177,"F","醫學中心","高雄市",42,2005,6
178,"F","醫學中心","高雄市",42,2006,14
179,"F","醫學中心","高雄市",42,2007,8
180,"F","醫學中心","高雄市",42,2008,96
181,"F","醫學中心","高雄市",42,2009,149
182,"F","醫學中心","高雄市",42,2010,173
183,"F","醫學中心","高雄市",42,2011,179
184,"F","醫學中心","高雄市",42,2012,158
185,"F","醫學中心","高雄市",43,2005,6
186,"F","醫學中心","高雄市",43,2006,8
187,"F","醫學中心","高雄市",43,2007,16
188,"F","醫學中心","高雄市",43,2008,74
189,"F","醫學中心","高雄市",43,2009,120
190,"F","醫學中心","高雄市",43,2010,150
191,"F","醫學中心","高雄市",43,2011,177
192,"F","醫學中心","高雄市",43,2012,176
193,"F","醫學中心","高雄市",44,2005,7
194,"F","醫學中心","高雄市",44,2006,8
195,"F","醫學中心","高雄市",44,2007,10
196,"F","醫學中心","高雄市",44,2008,89
197,"F","醫學中心","高雄市",44,2009,98
198,"F","醫學中心","高雄市",44,2010,121
199,"F","醫學中心","高雄市",44,2011,154
200,"F","醫學中心","高雄市",44,2012,172
201,"F","醫學中心","高雄市",45,2005,5
202,"F","醫學中心","高雄市",45,2006,9
203,"F","醫學中心","高雄市",45,2007,7
204,"F","醫學中心","高雄市",45,2008,59
205,"F","醫學中心","高雄市",45,2009,108
206,"F","醫學中心","高雄市",45,2010,99
207,"F","醫學中心","高雄市",45,2011,121
208,"F","醫學中心","高雄市",45,2012,149
209,"F","醫學中心","高雄市",46,2005,4
210,"F","醫學中心","高雄市",46,2006,7
211,"F","醫學中心","高雄市",46,2007,10
212,"F","醫學中心","高雄市",46,2008,51
213,"F","醫學中心","高雄市",46,2009,63
214,"F","醫學中心","高雄市",46,2010,104
215,"F","醫學中心","高雄市",46,2011,98
216,"F","醫學中心","高雄市",46,2012,118
217,"F","醫學中心","高雄市",47,2005,1
218,"F","醫學中心","高雄市",47,2006,4
219,"F","醫學中心","高雄市",47,2007,8
220,"F","醫學中心","高雄市",47,2008,40
221,"F","醫學中心","高雄市",47,2009,77
222,"F","醫學中心","高雄市",47,2010,62
223,"F","醫學中心","高雄市",47,2011,103
224,"F","醫學中心","高雄市",47,2012,93
225,"F","醫學中心","高雄市",48,2005,4
226,"F","醫學中心","高雄市",48,2006,2
227,"F","醫學中心","高雄市",48,2007,4
228,"F","醫學中心","高雄市",48,2008,24
229,"F","醫學中心","高雄市",48,2009,55
230,"F","醫學中心","高雄市",48,2010,75
231,"F","醫學中心","高雄市",48,2011,64
232,"F","醫學中心","高雄市",48,2012,101
233,"F","醫學中心","高雄市",49,2005,1
234,"F","醫學中心","高雄市",49,2006,4
235,"F","醫學中心","高雄市",49,2007,2
236,"F","醫學中心","高雄市",49,2008,15
237,"F","醫學中心","高雄市",49,2009,34
238,"F","醫學中心","高雄市",49,2010,55
239,"F","醫學中心","高雄市",49,2011,75
240,"F","醫學中心","高雄市",49,2012,65
241,"F","醫學中心","高雄市",50,2005,2
242,"F","醫學中心","高雄市",50,2006,1
243,"F","醫學中心","高雄市",50,2007,4
244,"F","醫學中心","高雄市",50,2008,13
245,"F","醫學中心","高雄市",50,2009,19
246,"F","醫學中心","高雄市",50,2010,27
247,"F","醫學中心","高雄市",50,2011,50
248,"F","醫學中心","高雄市",50,2012,67
249,"F","醫學中心","高雄市",51,2005,1
250,"F","醫學中心","高雄市",51,2006,2
251,"F","醫學中心","高雄市",51,2007,2
252,"F","醫學中心","高雄市",51,2008,8
253,"F","醫學中心","高雄市",51,2009,16
254,"F","醫學中心","高雄市",51,2010,18
255,"F","醫學中心","高雄市",51,2011,28
256,"F","醫學中心","高雄市",51,2012,44
257,"F","醫學中心","高雄市",52,2006,1
258,"F","醫學中心","高雄市",52,2007,1
259,"F","醫學中心","高雄市",52,2008,10
260,"F","醫學中心","高雄市",52,2009,12
261,"F","醫學中心","高雄市",52,2010,17
262,"F","醫學中心","高雄市",52,2011,18
263,"F","醫學中心","高雄市",52,2012,30
264,"F","醫學中心","高雄市",53,2005,1
265,"F","醫學中心","高雄市",53,2007,1
266,"F","醫學中心","高雄市",53,2008,5
267,"F","醫學中心","高雄市",53,2009,11
268,"F","醫學中心","高雄市",53,2010,12
269,"F","醫學中心","高雄市",53,2011,14
270,"F","醫學中心","高雄市",53,2012,16
271,"F","醫學中心","高雄市",54,2005,1
272,"F","醫學中心","高雄市",54,2006,2
273,"F","醫學中心","高雄市",54,2008,10
274,"F","醫學中心","高雄市",54,2009,5
275,"F","醫學中心","高雄市",54,2010,9
276,"F","醫學中心","高雄市",54,2011,12
277,"F","醫學中心","高雄市",54,2012,14
278,"F","醫學中心","高雄市",55,2006,1
279,"F","醫學中心","高雄市",55,2007,2
280,"F","醫學中心","高雄市",55,2008,11
281,"F","醫學中心","高雄市",55,2009,10
282,"F","醫學中心","高雄市",55,2010,4
283,"F","醫學中心","高雄市",55,2011,10
284,"F","醫學中心","高雄市",55,2012,9
285,"F","醫學中心","高雄市",56,2007,1
286,"F","醫學中心","高雄市",56,2008,8
287,"F","醫學中心","高雄市",56,2009,5
288,"F","醫學中心","高雄市",56,2010,9
289,"F","醫學中心","高雄市",56,2011,4
290,"F","醫學中心","高雄市",56,2012,8
291,"F","醫學中心","高雄市",57,2008,11
292,"F","醫學中心","高雄市",57,2009,6
293,"F","醫學中心","高雄市",57,2010,5
294,"F","醫學中心","高雄市",57,2011,9
295,"F","醫學中心","高雄市",57,2012,4
296,"F","醫學中心","高雄市",58,2008,4
297,"F","醫學中心","高雄市",58,2009,7
298,"F","醫學中心","高雄市",58,2010,6
299,"F","醫學中心","高雄市",58,2011,5
300,"F","醫學中心","高雄市",58,2012,9
301,"F","醫學中心","高雄市",59,2008,3
302,"F","醫學中心","高雄市",59,2009,4
303,"F","醫學中心","高雄市",59,2010,7
304,"F","醫學中心","高雄市",59,2011,7
305,"F","醫學中心","高雄市",59,2012,5
306,"F","醫學中心","高雄市",60,2008,3
307,"F","醫學中心","高雄市",60,2009,2
308,"F","醫學中心","高雄市",60,2010,3
309,"F","醫學中心","高雄市",60,2011,3
310,"F","醫學中心","高雄市",60,2012,5
311,"F","醫學中心","高雄市",61,2008,4
312,"F","醫學中心","高雄市",61,2010,2
313,"F","醫學中心","高雄市",61,2011,2
314,"F","醫學中心","高雄市",61,2012,3
315,"F","醫學中心","高雄市",62,2008,2
316,"F","醫學中心","高雄市",62,2009,2
317,"F","醫學中心","高雄市",62,2011,2
318,"F","醫學中心","高雄市",62,2012,2
319,"F","醫學中心","高雄市",63,2009,2
320,"F","醫學中心","高雄市",63,2010,2
321,"F","醫學中心","高雄市",63,2012,1
322,"F","醫學中心","高雄市",64,2008,2
323,"F","醫學中心","高雄市",64,2010,2
324,"F","醫學中心","高雄市",64,2011,1
325,"F","醫學中心","高雄市",65,2008,2
326,"F","醫學中心","高雄市",65,2011,1
327,"F","醫學中心","花蓮縣",19,2008,1
328,"F","醫學中心","花蓮縣",20,2005,65
329,"F","醫學中心","花蓮縣",20,2006,27
330,"F","醫學中心","花蓮縣",20,2007,32
331,"F","醫學中心","花蓮縣",20,2008,43
332,"F","醫學中心","花蓮縣",20,2009,22
333,"F","醫學中心","花蓮縣",20,2010,16
334,"F","醫學中心","花蓮縣",20,2011,12
335,"F","醫學中心","花蓮縣",20,2012,14
336,"F","醫學中心","花蓮縣",21,2005,72
337,"F","醫學中心","花蓮縣",21,2006,93
338,"F","醫學中心","花蓮縣",21,2007,42
339,"F","醫學中心","花蓮縣",21,2008,54
340,"F","醫學中心","花蓮縣",21,2009,63
341,"F","醫學中心","花蓮縣",21,2010,36
342,"F","醫學中心","花蓮縣",21,2011,27
343,"F","醫學中心","花蓮縣",21,2012,21
344,"F","醫學中心","花蓮縣",22,2005,73
345,"F","醫學中心","花蓮縣",22,2006,69
346,"F","醫學中心","花蓮縣",22,2007,88
347,"F","醫學中心","花蓮縣",22,2008,57
348,"F","醫學中心","花蓮縣",22,2009,63
349,"F","醫學中心","花蓮縣",22,2010,80
350,"F","醫學中心","花蓮縣",22,2011,60
351,"F","醫學中心","花蓮縣",22,2012,46
352,"F","醫學中心","花蓮縣",23,2005,67
353,"F","醫學中心","花蓮縣",23,2006,68
354,"F","醫學中心","花蓮縣",23,2007,62
355,"F","醫學中心","花蓮縣",23,2008,81
356,"F","醫學中心","花蓮縣",23,2009,55
357,"F","醫學中心","花蓮縣",23,2010,63
358,"F","醫學中心","花蓮縣",23,2011,73
359,"F","醫學中心","花蓮縣",23,2012,65
360,"F","醫學中心","花蓮縣",24,2005,75
361,"F","醫學中心","花蓮縣",24,2006,51
362,"F","醫學中心","花蓮縣",24,2007,54
363,"F","醫學中心","花蓮縣",24,2008,45
364,"F","醫學中心","花蓮縣",24,2009,69
365,"F","醫學中心","花蓮縣",24,2010,51
366,"F","醫學中心","花蓮縣",24,2011,50
367,"F","醫學中心","花蓮縣",24,2012,69
368,"F","醫學中心","花蓮縣",25,2005,59
369,"F","醫學中心","花蓮縣",25,2006,61
370,"F","醫學中心","花蓮縣",25,2007,45
371,"F","醫學中心","花蓮縣",25,2008,46
372,"F","醫學中心","花蓮縣",25,2009,33
373,"F","醫學中心","花蓮縣",25,2010,58
374,"F","醫學中心","花蓮縣",25,2011,44
375,"F","醫學中心","花蓮縣",25,2012,43
376,"F","醫學中心","花蓮縣",26,2005,57
377,"F","醫學中心","花蓮縣",26,2006,46
378,"F","醫學中心","花蓮縣",26,2007,52
379,"F","醫學中心","花蓮縣",26,2008,38
380,"F","醫學中心","花蓮縣",26,2009,41
381,"F","醫學中心","花蓮縣",26,2010,31
382,"F","醫學中心","花蓮縣",26,2011,53
383,"F","醫學中心","花蓮縣",26,2012,38
384,"F","醫學中心","花蓮縣",27,2005,32
385,"F","醫學中心","花蓮縣",27,2006,41
386,"F","醫學中心","花蓮縣",27,2007,41
387,"F","醫學中心","花蓮縣",27,2008,54
388,"F","醫學中心","花蓮縣",27,2009,36
389,"F","醫學中心","花蓮縣",27,2010,41
390,"F","醫學中心","花蓮縣",27,2011,32
391,"F","醫學中心","花蓮縣",27,2012,52
392,"F","醫學中心","花蓮縣",28,2005,22
393,"F","醫學中心","花蓮縣",28,2006,30
394,"F","醫學中心","花蓮縣",28,2007,41
395,"F","醫學中心","花蓮縣",28,2008,38
396,"F","醫學中心","花蓮縣",28,2009,41
397,"F","醫學中心","花蓮縣",28,2010,39
398,"F","醫學中心","花蓮縣",28,2011,35
399,"F","醫學中心","花蓮縣",28,2012,30
400,"F","醫學中心","花蓮縣",29,2005,37
401,"F","醫學中心","花蓮縣",29,2006,23
402,"F","醫學中心","花蓮縣",29,2007,30
403,"F","醫學中心","花蓮縣",29,2008,44
404,"F","醫學中心","花蓮縣",29,2009,34
405,"F","醫學中心","花蓮縣",29,2010,39
406,"F","醫學中心","花蓮縣",29,2011,33
407,"F","醫學中心","花蓮縣",29,2012,34
408,"F","醫學中心","花蓮縣",30,2005,19
409,"F","醫學中心","花蓮縣",30,2006,31
410,"F","醫學中心","花蓮縣",30,2007,25
411,"F","醫學中心","花蓮縣",30,2008,41
412,"F","醫學中心","花蓮縣",30,2009,41
413,"F","醫學中心","花蓮縣",30,2010,31
414,"F","醫學中心","花蓮縣",30,2011,38
415,"F","醫學中心","花蓮縣",30,2012,32
416,"F","醫學中心","花蓮縣",31,2005,17
417,"F","醫學中心","花蓮縣",31,2006,15
418,"F","醫學中心","花蓮縣",31,2007,27
419,"F","醫學中心","花蓮縣",31,2008,28
420,"F","醫學中心","花蓮縣",31,2009,29
421,"F","醫學中心","花蓮縣",31,2010,33
422,"F","醫學中心","花蓮縣",31,2011,33
423,"F","醫學中心","花蓮縣",31,2012,35
424,"F","醫學中心","花蓮縣",32,2005,10
425,"F","醫學中心","花蓮縣",32,2006,14
426,"F","醫學中心","花蓮縣",32,2007,13
427,"F","醫學中心","花蓮縣",32,2008,43
428,"F","醫學中心","花蓮縣",32,2009,23
429,"F","醫學中心","花蓮縣",32,2010,25
430,"F","醫學中心","花蓮縣",32,2011,29
431,"F","醫學中心","花蓮縣",32,2012,29
432,"F","醫學中心","花蓮縣",33,2005,8
433,"F","醫學中心","花蓮縣",33,2006,6
434,"F","醫學中心","花蓮縣",33,2007,13
435,"F","醫學中心","花蓮縣",33,2008,40
436,"F","醫學中心","花蓮縣",33,2009,31
437,"F","醫學中心","花蓮縣",33,2010,20
438,"F","醫學中心","花蓮縣",33,2011,25
439,"F","醫學中心","花蓮縣",33,2012,31
440,"F","醫學中心","花蓮縣",34,2005,4
441,"F","醫學中心","花蓮縣",34,2006,8
442,"F","醫學中心","花蓮縣",34,2007,6
443,"F","醫學中心","花蓮縣",34,2008,33
444,"F","醫學中心","花蓮縣",34,2009,26
445,"F","醫學中心","花蓮縣",34,2010,32
446,"F","醫學中心","花蓮縣",34,2011,20
447,"F","醫學中心","花蓮縣",34,2012,21
448,"F","醫學中心","花蓮縣",35,2005,4
449,"F","醫學中心","花蓮縣",35,2006,3
450,"F","醫學中心","花蓮縣",35,2007,8
451,"F","醫學中心","花蓮縣",35,2008,31
452,"F","醫學中心","花蓮縣",35,2009,19
453,"F","醫學中心","花蓮縣",35,2010,25
454,"F","醫學中心","花蓮縣",35,2011,31
455,"F","醫學中心","花蓮縣",35,2012,20
456,"F","醫學中心","花蓮縣",36,2005,5
457,"F","醫學中心","花蓮縣",36,2006,3
458,"F","醫學中心","花蓮縣",36,2007,4
459,"F","醫學中心","花蓮縣",36,2008,40
460,"F","醫學中心","花蓮縣",36,2009,19
461,"F","醫學中心","花蓮縣",36,2010,18
462,"F","醫學中心","花蓮縣",36,2011,25
463,"F","醫學中心","花蓮縣",36,2012,31
464,"F","醫學中心","花蓮縣",37,2005,7
465,"F","醫學中心","花蓮縣",37,2006,6
466,"F","醫學中心","花蓮縣",37,2007,4
467,"F","醫學中心","花蓮縣",37,2008,21
468,"F","醫學中心","花蓮縣",37,2009,19
469,"F","醫學中心","花蓮縣",37,2010,19
470,"F","醫學中心","花蓮縣",37,2011,15
471,"F","醫學中心","花蓮縣",37,2012,24
472,"F","醫學中心","花蓮縣",38,2005,4
473,"F","醫學中心","花蓮縣",38,2006,6
474,"F","醫學中心","花蓮縣",38,2007,6
475,"F","醫學中心","花蓮縣",38,2008,21
476,"F","醫學中心","花蓮縣",38,2009,11
477,"F","醫學中心","花蓮縣",38,2010,22
478,"F","醫學中心","花蓮縣",38,2011,19
479,"F","醫學中心","花蓮縣",38,2012,16
480,"F","醫學中心","花蓮縣",39,2005,5
481,"F","醫學中心","花蓮縣",39,2006,4
482,"F","醫學中心","花蓮縣",39,2007,7
483,"F","醫學中心","花蓮縣",39,2008,14
484,"F","醫學中心","花蓮縣",39,2009,14
485,"F","醫學中心","花蓮縣",39,2010,10
486,"F","醫學中心","花蓮縣",39,2011,22
487,"F","醫學中心","花蓮縣",39,2012,19
488,"F","醫學中心","花蓮縣",40,2005,2
489,"F","醫學中心","花蓮縣",40,2006,5
490,"F","醫學中心","花蓮縣",40,2007,4
491,"F","醫學中心","花蓮縣",40,2008,13
492,"F","醫學中心","花蓮縣",40,2009,17
493,"F","醫學中心","花蓮縣",40,2010,13
494,"F","醫學中心","花蓮縣",40,2011,10
495,"F","醫學中心","花蓮縣",40,2012,23
496,"F","醫學中心","花蓮縣",41,2005,2
497,"F","醫學中心","花蓮縣",41,2006,3
498,"F","醫學中心","花蓮縣",41,2007,6
499,"F","醫學中心","花蓮縣",41,2008,9
500,"F","醫學中心","花蓮縣",41,2009,14
501,"F","醫學中心","花蓮縣",41,2010,17
502,"F","醫學中心","花蓮縣",41,2011,11
503,"F","醫學中心","花蓮縣",41,2012,11
504,"F","醫學中心","花蓮縣",42,2005,2
505,"F","醫學中心","花蓮縣",42,2006,2
506,"F","醫學中心","花蓮縣",42,2007,2
507,"F","醫學中心","花蓮縣",42,2008,7
508,"F","醫學中心","花蓮縣",42,2009,11
509,"F","醫學中心","花蓮縣",42,2010,15
510,"F","醫學中心","花蓮縣",42,2011,17
511,"F","醫學中心","花蓮縣",42,2012,12
512,"F","醫學中心","花蓮縣",43,2005,4
513,"F","醫學中心","花蓮縣",43,2006,2
514,"F","醫學中心","花蓮縣",43,2007,2
515,"F","醫學中心","花蓮縣",43,2008,9
516,"F","醫學中心","花蓮縣",43,2009,11
517,"F","醫學中心","花蓮縣",43,2010,11
518,"F","醫學中心","花蓮縣",43,2011,16
519,"F","醫學中心","花蓮縣",43,2012,17
520,"F","醫學中心","花蓮縣",44,2005,1
521,"F","醫學中心","花蓮縣",44,2006,4
522,"F","醫學中心","花蓮縣",44,2007,1
523,"F","醫學中心","花蓮縣",44,2008,5
524,"F","醫學中心","花蓮縣",44,2009,8
525,"F","醫學中心","花蓮縣",44,2010,11
526,"F","醫學中心","花蓮縣",44,2011,11
527,"F","醫學中心","花蓮縣",44,2012,15
528,"F","醫學中心","花蓮縣",45,2005,1
529,"F","醫學中心","花蓮縣",45,2006,1
530,"F","醫學中心","花蓮縣",45,2007,4
531,"F","醫學中心","花蓮縣",45,2008,4
532,"F","醫學中心","花蓮縣",45,2009,7
533,"F","醫學中心","花蓮縣",45,2010,8
534,"F","醫學中心","花蓮縣",45,2011,11
535,"F","醫學中心","花蓮縣",45,2012,11
536,"F","醫學中心","花蓮縣",46,2005,2
537,"F","醫學中心","花蓮縣",46,2006,1
538,"F","醫學中心","花蓮縣",46,2007,1
539,"F","醫學中心","花蓮縣",46,2008,6
540,"F","醫學中心","花蓮縣",46,2009,1
541,"F","醫學中心","花蓮縣",46,2010,7
542,"F","醫學中心","花蓮縣",46,2011,6
543,"F","醫學中心","花蓮縣",46,2012,11
544,"F","醫學中心","花蓮縣",47,2006,2
545,"F","醫學中心","花蓮縣",47,2007,1
546,"F","醫學中心","花蓮縣",47,2008,4
547,"F","醫學中心","花蓮縣",47,2009,6
548,"F","醫學中心","花蓮縣",47,2010,1
549,"F","醫學中心","花蓮縣",47,2011,7
550,"F","醫學中心","花蓮縣",47,2012,6
551,"F","醫學中心","花蓮縣",48,2005,1
552,"F","醫學中心","花蓮縣",48,2007,2
553,"F","醫學中心","花蓮縣",48,2008,4
554,"F","醫學中心","花蓮縣",48,2009,1
555,"F","醫學中心","花蓮縣",48,2010,6
556,"F","醫學中心","花蓮縣",48,2011,1
557,"F","醫學中心","花蓮縣",48,2012,7
558,"F","醫學中心","花蓮縣",49,2006,1
559,"F","醫學中心","花蓮縣",49,2008,3
560,"F","醫學中心","花蓮縣",49,2009,1
561,"F","醫學中心","花蓮縣",49,2010,1
562,"F","醫學中心","花蓮縣",49,2011,5
563,"F","醫學中心","花蓮縣",49,2012,1
564,"F","醫學中心","花蓮縣",50,2007,1
565,"F","醫學中心","花蓮縣",50,2008,2
566,"F","醫學中心","花蓮縣",50,2009,2
567,"F","醫學中心","花蓮縣",50,2010,1
568,"F","醫學中心","花蓮縣",50,2011,1
569,"F","醫學中心","花蓮縣",50,2012,5
570,"F","醫學中心","花蓮縣",51,2005,1
571,"F","醫學中心","花蓮縣",51,2008,2
572,"F","醫學中心","花蓮縣",51,2009,1
573,"F","醫學中心","花蓮縣",51,2010,3
574,"F","醫學中心","花蓮縣",51,2011,1
575,"F","醫學中心","花蓮縣",51,2012,1
576,"F","醫學中心","花蓮縣",52,2005,1
577,"F","醫學中心","花蓮縣",52,2006,1
578,"F","醫學中心","花蓮縣",52,2009,2
579,"F","醫學中心","花蓮縣",52,2011,3
580,"F","醫學中心","花蓮縣",52,2012,1
581,"F","醫學中心","花蓮縣",53,2006,1
582,"F","醫學中心","花蓮縣",53,2007,1
583,"F","醫學中心","花蓮縣",53,2009,1
